year,sales_units,t,cum_units,pred_sales
2011,9674,1,9674,11187.810747879348
2012,9819,2,19493,15322.094210328876
2013,22610,3,42103,19206.33195677712
2014,30200,4,72303,21559.66758504722
2015,17269,5,89572,21390.2644732314
2016,14006,6,103578,18774.803833553517
2017,11230,7,114808,14792.933733035112
2018,14715,8,129523,10700.062215457912
2019,12365,9,141888,7272.624174296114
